qa_id,question,route,split,note
Q081,싱잉볼 수업 아직 자리 있나요?,CLASS_BOOKING,eval,
Q082,10월 11일 한강 요가는 뭘 가져가야 하나요?,CLASS_BOOKING,eval,
Q083,워크숍 신청하려면 어디로 입금하면 되나요?,CLASS_BOOKING,eval,
Q084,아쉬탕가 수업 참가비가 얼마인가요?,CLASS_BOOKING,eval,
Q085,가을 요가 위켄드 신청 마감이 언제인가요?,CLASS_BOOKING,eval,
Q086,영어요가 수업은 몇 시부터인가요?,CLASS_BOOKING,eval,
Q087,한강 요가 비 오면 어떻게 되나요?,CLASS_BOOKING,eval,
Q088,포트락 음식 가져가면 참가비 할인되나요?,CLASS_BOOKING,eval,
Q089,아쉬탕가 세션은 도시락 포함인가요?,CLASS_BOOKING,eval,
Q090,싱잉볼 수업 강사가 누구인가요?,CLASS_BOOKING,eval,
Q091,10월 10일 워크숍 장소가 어디인가요?,CLASS_BOOKING,eval,
Q092,수업 신청은 어디서 하나요?,CLASS_BOOKING,eval,
Q093,수업 신청했는데 취소하면 환불되나요?,CLASS_BOOKING,eval,
Q094,영어요가는 지도자과정 수강생만 들을 수 있나요?,CLASS_BOOKING,eval,
Q095,한강 요가 정원이 몇 명인가요?,CLASS_BOOKING,eval,
Q096,입금했는데 신청 확정된 건가요?,CLASS_BOOKING,eval,
Q097,10월 10일 오후에는 어떤 세션이 있나요?,CLASS_BOOKING,eval,
Q098,토요일 두 세션 다 신청할 수 있나요?,CLASS_BOOKING,eval,
Q099,오픈채팅방 참여코드가 뭔가요?,CLASS_BOOKING,eval,
Q100,싱잉볼 수업 준비물 있나요?,CLASS_BOOKING,eval,
Q101,매장이 어디에 있나요? 직접 가서 보고 싶어요,OTHER,outscope,
Q102,영업시간이 어떻게 되나요?,OTHER,outscope,
Q103,방문하면 주차 가능한가요?,OTHER,outscope,
Q104,쿠팡에서 주문했는데 배송이 안 와요.,OTHER,outscope,
Q105,네이버 스마트스토어에서 산 건데 반품하고 싶어요.,OTHER,outscope,
Q106,강사 채용 공고 있나요?,OTHER,outscope,
Q107,협찬 문의드립니다.,OTHER,outscope,
Q108,인스타 공동구매 제휴 가능할까요?,OTHER,outscope,
Q109,매트 제조사 A/S는 어디로 연락하나요?,OTHER,outscope,
Q110,취재 요청드립니다.,OTHER,outscope,
Q111,대리점 개설 문의드립니다.,OTHER,outscope,
Q112,11번가에서 구매한 상품 문의입니다.,OTHER,outscope,
Q113,사무실 위치가 어디인가요?,OTHER,outscope,
Q114,광고 대행 제안드립니다.,OTHER,outscope,
Q115,요가원 창업 컨설팅도 하시나요?,OTHER,outscope,
Q116,환불 규정이 어떻게 되나요? 수업 말고 물건이요.,RETURN_REFUND,fewshot,두 축 구분: 물건 명시
Q117,신청한 수업 환불 규정이 궁금해요.,CLASS_BOOKING,fewshot,두 축 구분: 수업 환불
Q118,언제 시작하나요?,CLASS_BOOKING,fewshot,경계: 단독이면 수업 시각으로 본다
Q119,주문한 게 언제 출발하나요?,SHIPPING,fewshot,경계: 출고
Q120,자리 있나요?,CLASS_BOOKING,fewshot,경계: 정원
Q121,재고 있나요?,PRODUCT_INFO,fewshot,경계: 재고
Q122,취소하고 싶어요.,ORDER_PLACE,fewshot,경계: 주문 취소가 기본
Q123,수업 취소하고 싶어요.,CLASS_BOOKING,fewshot,경계: 수업 취소
Q124,얼마인가요?,PRODUCT_INFO,fewshot,경계: 상품가가 기본
Q125,참가비가 얼마인가요?,CLASS_BOOKING,fewshot,경계: 참가비
Q126,어디로 가면 되나요?,CLASS_BOOKING,fewshot,워크숍 장소 — 상시 매장 문의와 구분
Q127,매장 위치 알려주세요.,OTHER,fewshot,상시 매장은 없다
Q128,입금 계좌 알려주세요.,CLASS_BOOKING,fewshot,무통장 주문과 헷갈리는 자리
Q129,결제는 어떻게 하나요?,ORDER_PLACE,fewshot,상품 결제
Q130,마감이 언제인가요?,CLASS_BOOKING,fewshot,신청 마감
Q131,이 매트 사도 될까요?,PRODUCT_INFO,fewshot,판단용 정보 요청
Q132,이 매트 살게요.,ORDER_PLACE,fewshot,구매 의사
Q133,준비물이 뭔가요?,CLASS_BOOKING,fewshot,세션 준비물
Q134,구성품이 뭔가요?,PRODUCT_INFO,fewshot,상품 구성
Q135,몇 명까지 되나요?,CLASS_BOOKING,fewshot,정원
